name ts   x y z   roll pitch yaw  err delay
HR_6 1776353915.003926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   7e-06
QR_4 1776353915.003926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   7e-06
HR_6 1776353915.013926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4.8e-05
QR_4 1776353915.013926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4.8e-05
HR_6 1776353915.023926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.5e-05
QR_4 1776353915.023926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.5e-05
HR_6 1776353915.033926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4.7e-05
QR_4 1776353915.033926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4.7e-05
HR_6 1776353915.043926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.3e-05
QR_4 1776353915.043926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.3e-05
HR_6 1776353915.053926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.1e-05
QR_4 1776353915.053926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.1e-05
HR_6 1776353915.063926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4e-06
QR_4 1776353915.063926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4e-06
HR_6 1776353915.073926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.6e-05
QR_4 1776353915.073926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.6e-05
HR_6 1776353915.083927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.5e-05
QR_4 1776353915.083927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.5e-05
HR_6 1776353915.093927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000876
QR_4 1776353915.093927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000876
HR_6 1776353915.103927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.5e-05
QR_4 1776353915.103927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.5e-05
HR_6 1776353915.113927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   8.3e-05
QR_4 1776353915.113927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   8.3e-05
HR_6 1776353915.123927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4e-05
QR_4 1776353915.123927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4e-05
HR_6 1776353915.133927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000115
QR_4 1776353915.133927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000115
HR_6 1776353915.143927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.4e-05
QR_4 1776353915.143927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.4e-05
HR_6 1776353915.153927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   8e-06
QR_4 1776353915.153927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   8e-06
HR_6 1776353915.163927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000726
QR_4 1776353915.163927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000726
HR_6 1776353915.173927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3.6e-05
QR_4 1776353915.173927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3.6e-05
HR_6 1776353915.183928000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.5e-05
QR_4 1776353915.183928000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.5e-05
HR_6 1776353915.193928000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1e-06
QR_4 1776353915.193928000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1e-06
