# pom logged on Tue Apr 28 09:38:20 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1777369100.326807000 0 1 1 1 1 1 -0.992888 -0.00219376 0.0255069 -0.0263304 -0.0112051 -0.0128018 -0.0102431 0.00893021 0.00343379 -0.000603641 -0.00176955 0.00208584 -0.113913 0.261936 -0.0116151 0.000290905 0.000290843 0.000285903 0.0004869 0.000492207 0.000498274 0.00862914 0.00861573 0.00737341 0.00862914 0.00861573 0.00737341 0.139996 0.139483 0.0929626
1777369100.328416000 0 1 1 1 1 1 -0.992905 -0.00217905 0.0255124 -0.0263314 -0.0112079 -0.0127985 -0.0104264 0.00935168 0.0034151 -0.000603641 -0.00176955 0.00208584 -0.113913 0.261936 -0.0116151 0.000295139 0.000295075 0.000289877 0.000487979 0.000493287 0.000499354 0.00865842 0.00864477 0.0073778 0.00865842 0.00864477 0.0073778 0.162354 0.16184 0.115321
1777369100.331350000 0 1 1 1 1 1 -0.992936 -0.00215053 0.0255222 -0.0263283 -0.0112132 -0.0127891 -0.0107525 0.0101179 0.00337024 -0.000343866 -0.00178149 0.00226578 -0.113452 0.261829 -0.0122381 0.00030298 0.00030291 0.000297221 0.000485171 0.000490489 0.000496544 0.00869334 0.00867926 0.00736674 0.00869334 0.00867926 0.00736674 0.104999 0.104473 0.0579906
1777369100.332041000 0 1 1 1 1 1 -0.980396 0.0040609 0.0270081 -0.0253477 -0.0125361 -0.0114081 0.0407423 0.0353821 0.00958486 -5.4413e-05 -0.00227688 0.00243958 -0.126775 0.252273 -0.0121308 0.000271676 0.000271624 0.0002672 0.000462014 0.000466756 0.000473243 0.00799561 0.00798364 0.0067975 0.00799561 0.00798364 0.0067975 0.103328 0.102853 0.0586068
1777369100.332817000 0 1 1 1 1 1 -0.980365 0.00408843 0.0270155 -0.0253478 -0.0125378 -0.0114062 0.0406439 0.0355778 0.00957545 -5.4413e-05 -0.00227688 0.00243958 -0.126775 0.252273 -0.0121308 0.000273553 0.0002735 0.000268963 0.000462196 0.000466938 0.000473425 0.00800782 0.00799574 0.0067983 0.00800782 0.00799574 0.0067983 0.105173 0.104699 0.0604523
1777369100.334895000 0 1 1 1 1 1 -0.98028 0.00416285 0.0270354 -0.0253449 -0.0125265 -0.0114148 0.0403769 0.0360938 0.00954326 0.000232424 -0.00115002 0.00143858 -0.126958 0.251689 -0.0126224 0.000278629 0.000278573 0.000273722 0.000461616 0.000466359 0.000472846 0.0080359 0.00802356 0.00679559 0.0080359 0.00802356 0.00679559 0.0888413 0.0883665 0.0441229
1777369100.336363000 0 1 1 1 1 1 -0.980221 0.00421613 0.0270494 -0.0253438 -0.0125198 -0.0114159 0.0401909 0.0364671 0.00952802 0.000312811 -0.000306584 0.00111618 -0.126883 0.252045 -0.0123102 0.000282261 0.000282202 0.00027712 0.000461147 0.00046589 0.000472376 0.00805579 0.00804324 0.00679349 0.00805579 0.00804324 0.00679349 0.0624757 0.0620047 0.0177617
1777369100.336889000 0 1 1 1 1 1 -0.9802 0.00423536 0.0270544 -0.0253425 -0.0125171 -0.0114164 0.0401246 0.0366022 0.0095238 0.000516582 0.000193646 0.000925065 -0.126802 0.252446 -0.0119588 0.00028357 0.000283511 0.000278345 0.000461066 0.000465809 0.000472295 0.0080633 0.00805068 0.00679307 0.0080633 0.00805068 0.00679307 0.0496664 0.0491955 0.00494646
1777369100.337971000 0 1 1 1 1 1 -0.980157 0.00427511 0.0270647 -0.0253414 -0.0125153 -0.011416 0.0399878 0.0368771 0.00951235 0.000668384 0.000559819 0.000785171 -0.126747 0.252726 -0.0117132 0.00028628 0.000286218 0.000280876 0.000461065 0.000465808 0.000472294 0.00807966 0.00806689 0.00679305 0.00807966 0.00806689 0.00679305 0.0491731 0.0487022 0.0044406
1777369100.338800000 0 1 1 1 1 1 -0.980124 0.00430577 0.0270726 -0.0253408 -0.0125149 -0.0114154 0.0398827 0.0370866 0.00950264 0.000668384 0.000559819 0.000785171 -0.126747 0.252726 -0.0117132 0.000288369 0.000288306 0.000282825 0.000461072 0.000465815 0.000472301 0.00809232 0.00807944 0.00679308 0.00809232 0.00807944 0.00679308 0.0523207 0.0518498 0.0075882

1777369100.340931000 0 1 1 1 1 1 -0.980039 0.0043854 0.0270928 -0.0253398 -0.0125137 -0.0114127 0.0396133 0.0376264 0.00948301 0.000634245 0.000539275 0.000970622 -0.126657 0.252869 -0.0109931 0.000293794 0.000293728 0.000287881 0.00046111 0.000465853 0.000472339 0.00812521 0.00811204 0.00679323 0.00812521 0.00811204 0.00679323 0.0578038 0.0573328 0.0130659
1777369100.341805000 0 1 1 1 1 1 -0.980004 0.00441838 0.0271011 -0.0253392 -0.0125133 -0.0114118 0.0395026 0.0378474 0.0094734 0.000634245 0.000539275 0.000970622 -0.126657 0.252869 -0.0109931 0.000296042 0.000295974 0.000289972 0.000461137 0.00046588 0.000472366 0.00813887 0.00812557 0.00679335 0.00813887 0.00812557 0.00679335 0.0610829 0.0606119 0.016345
1777369100.342879000 0 1 1 1 1 1 -0.98944 0.0124835 0.0211344 -0.025386 -0.0166229 -0.00961756 -0.00465425 0.0711812 -0.0152468 2.17854e-05 -0.000244863 0.00173053 -0.166648 0.253287 -0.0111366 0.000267069 0.000267017 0.000262251 0.000439921 0.000444134 0.000451057 0.00750586 0.00749441 0.00627992 0.00750586 0.00749441 0.00627992 0.0489509 0.0485232 0.0062992
1777369100.343854000 0 1 1 1 1 1 -0.989445 0.012553 0.0211196 -0.0253823 -0.0166239 -0.00961716 -0.00481415 0.0714272 -0.0152567 0.000838388 -0.000126915 0.00173377 -0.165838 0.253124 -0.0109717 0.000269335 0.000269283 0.000264366 0.000439918 0.000444081 0.000451001 0.00751985 0.00750842 0.00627989 0.00751985 0.00750842 0.00627989 0.0476652 0.0472452 0.00501322
1777369100.346893000 0 1 1 1 1 1 -0.98946 0.0127713 0.0210732 -0.0253798 -0.0166243 -0.00961193 -0.00531816 0.0721964 -0.0152901 0.000838388 -0.000126915 0.00173377 -0.165838 0.253124 -0.0109717 0.0002765 0.000276443 0.000271037 0.00044002 0.000444182 0.000451103 0.00756495 0.00755315 0.00628035 0.00756495 0.00755315 0.00628035 0.0658385 0.0654185 0.0231866
1777369100.351189000 0 1 1 1 1 1 -0.989484 0.0130837 0.0210074 -0.0253767 -0.0166267 -0.00960952 -0.00602905 0.0732788 -0.015338 0.000782404 -0.000304513 0.00132022 -0.165689 0.252672 -0.0110429 0.00028688 0.000286816 0.000280665 0.000440824 0.000444978 0.000451899 0.00763266 0.00762033 0.00628362 0.00763266 0.00762033 0.00628362 0.107853 0.107435 0.0652007
1777369100.352706000 0 1 1 1 1 1 -0.989494 0.0131952 0.0209841 -0.0253755 -0.0166271 -0.00960754 -0.00628041 0.0736621 -0.0153548 0.000782404 -0.000304513 0.00132022 -0.165689 0.252672 -0.0110429 0.000290618 0.000290551 0.00028412 0.000441794 0.000445948 0.000452869 0.00765972 0.0076472 0.00628754 0.00765972 0.0076472 0.00628754 0.135712 0.135294 0.0930596
1777369100.354181000 0 1 1 1 1 1 -0.989503 0.0133041 0.0209615 -0.0253732 -0.016632 -0.00961385 -0.00653758 0.0740346 -0.0153583 0.000874923 -0.000583892 0.000623699 -0.166528 0.252663 -0.0100654 0.000294288 0.000294219 0.000287508 0.000440915 0.000445067 0.000451988 0.00767887 0.00766616 0.00628401 0.00767887 0.00766616 0.00628401 0.105856 0.105439 0.0632023
1777369100.354891000 0 1 1 1 1 1 -0.991846 0.011345 0.0241673 -0.0238596 -0.0148605 -0.00975475 -0.0136855 0.0642353 -0.00251577 0.000372665 -0.00106807 0.000572292 -0.147515 0.237212 -0.00861791 0.000265314 0.000265262 0.000259929 0.000420516 0.000424324 0.000431567 0.00708791 0.00707689 0.00581693 0.00708791 0.00707689 0.00581693 0.0512848 0.0509044 0.0105323
1777369100.355815000 0 1 1 1 1 1 -0.991858 0.0114044 0.024165 -0.0238593 -0.0148615 -0.00975423 -0.0138218 0.0644545 -0.00252373 0.000372665 -0.00106807 0.000572292 -0.147515 0.237212 -0.00861791 0.000267397 0.000267343 0.000261858 0.000420548 0.000424355 0.000431599 0.00710142 0.00709029 0.00581709 0.00710142 0.00709029 0.00581709 0.0573703 0.0569899 0.0166179
1777369100.356926000 0 1 1 1 1 1 -0.991874 0.0114761 0.0241622 -0.0238616 -0.0148652 -0.00975203 -0.0139788 0.0647158 -0.00252381 -6.27203e-05 -0.00143617 0.000783705 -0.146837 0.237041 -0.00765608 0.000269919 0.000269863 0.00026419 0.000420533 0.000424341 0.000431584 0.00711743 0.00710617 0.00581694 0.00711743 0.00710617 0.00581694 0.0538725 0.053492 0.0131037
1777369100.357851000 0 1 1 1 1 1 -0.991887 0.0115361 0.0241599 -0.0238633 -0.0148689 -0.00975124 -0.0141095 0.064937 -0.00252339 -0.000371891 -0.00185493 0.000810376 -0.146096 0.237349 -0.00655098 0.000272033 0.000271976 0.000266143 0.000420512 0.000424319 0.000431562 0.00713084 0.00711947 0.00581683 0.00713084 0.00711947 0.00581683 0.0504154 0.0500349 0.00964009
1777369100.358836000 0 1 1 1 1 1 -0.991901 0.0116002 0.0241574 -0.0238637 -0.0148707 -0.00975043 -0.0142534 0.0651708 -0.00252984 -0.000371891 -0.00185493 0.000810376 -0.146096 0.237349 -0.00655098 0.000274298 0.000274239 0.000268233 0.000420544 0.000424351 0.000431595 0.00714547 0.00713398 0.00581698 0.00714547 0.00713398 0.00581698 0.0568759 0.0564953 0.0161005
1777369100.359819000 0 1 1 1 1 1 -0.991915 0.0116644 0.0241549 -0.023864 -0.0148725 -0.00974963 -0.014397 0.0654041 -0.00253628 -0.000371891 -0.00185493 0.000810376 -0.146096 0.237349 -0.00655098 0.000276574 0.000276513 0.00027033 0.000420616 0.000424423 0.000431666 0.0071603 0.00714869 0.00581729 0.0071603 0.00714869 0.00581729 0.0654732 0.0650926 0.0246978
1777369100.360867000 0 1 1 1 1 1 -0.99193 0.0117331 0.0241523 -0.0238645 -0.0148732 -0.00975187 -0.014546 0.0656583 -0.00252794 -0.000377345 -0.00172864 0.000377381 -0.145692 0.23796 -0.00476998 0.000279016 0.000278954 0.000272579 0.000420611 0.000424419 0.000431662 0.00717584 0.00716411 0.00581725 0.00717584 0.00716411 0.00581725 0.0605144 0.0601338 0.0197281
1777369100.361905000 0 1 1 1 1 1 -0.991945 0.0118014 0.0241497 -0.0238627 -0.0148746 -0.00975013 -0.0146923 0.0659157 -0.00252661 -5.5349e-05 -0.00167901 0.000590949 -0.144962 0.239514 -0.00384149 0.000281452 0.000281388 0.000274818 0.000420506 0.000424313 0.000431556 0.00719096 0.0071791 0.00581683 0.00719096 0.0071791 0.00581683 0.0481051 0.0477241 0.00731165
1777369100.362872000 0 1 1 1 1 1 -0.998545 0.013384 0.0196479 -0.0226948 -0.0168054 -0.00962932 -0.0431786 0.0705836 -0.0202278 -5.15194e-05 -0.0016816 0.000588824 -0.164025 0.228221 -0.00385179 0.000254917 0.000254868 0.000249596 0.000402668 0.000406124 0.000413742 0.00665651 0.00664615 0.00539742 0.00665651 0.00664615 0.00539742 0.0469431 0.0465933 0.00789934
1777369100.363981000 0 1 1 1 1 1 -0.998593 0.0134624 0.0196254 -0.0226918 -0.0168066 -0.00962762 -0.0433576 0.0708418 -0.0202328 0.00054428 -0.0014333 0.000684633 -0.163428 0.229109 -0.00396663 0.000257282 0.000257232 0.000251778 0.000402656 0.000406106 0.000413722 0.00667202 0.00666156 0.00539733 0.00667202 0.00666156 0.00539733 0.0435999 0.0432539 0.00453966
1777369100.365254000 0 1 1 1 1 1 -0.998648 0.0135528 0.0195997 -0.0226882 -0.0168067 -0.00962887 -0.0435649 0.0711309 -0.0202365 0.00123378 -0.000930355 0.000276828 -0.163165 0.228688 -0.00371565 0.000260018 0.000259966 0.000254297 0.000402658 0.000406108 0.000413723 0.00669007 0.00667947 0.00539734 0.00669007 0.00667947 0.00539734 0.0446938 0.0443481 0.00563192
1777369100.365826000 0 1 1 1 1 1 -0.998673 0.0135935 0.0195881 -0.0226875 -0.0168072 -0.00962873 -0.0436582 0.0712617 -0.0202386 0.00123378 -0.000930355 0.000276828 -0.163165 0.228688 -0.00371565 0.000261255 0.000261202 0.000255435 0.000402665 0.000406115 0.00041373 0.00669825 0.00668759 0.00539737 0.00669825 0.00668759 0.00539737 0.0472564 0.0469108 0.00819457
1777369100.370114000 0 1 1 1 1 1 -0.998862 0.0139011 0.0195013 -0.022683 -0.0168109 -0.00962895 -0.0443548 0.0722413 -0.0202407 0.00106934 -0.000836204 0.000133145 -0.162706 0.228636 -0.00205178 0.000270678 0.000270619 0.000264079 0.000402788 0.000406238 0.000413853 0.0067607 0.00674955 0.0053979 0.0067607 0.00674955 0.0053979 0.0648113 0.0644659 0.0257448
1777369100.372022000 0 1 1 1 1 1 -0.998947 0.0140394 0.0194627 -0.0226809 -0.0168125 -0.00962873 -0.0446652 0.0726775 -0.0202446 0.00106934 -0.000836204 0.000133145 -0.162706 0.228636 -0.00205178 0.000274957 0.000274894 0.000267988 0.000403169 0.000406618 0.000414234 0.00679026 0.00677889 0.00539946 0.00679026 0.00677889 0.00539946 0.0883084 0.087963 0.0492419
1777369100.372805000 0 1 1 1 1 1 -0.998982 0.0140964 0.0194468 -0.0226801 -0.0168131 -0.00962864 -0.0447927 0.0728566 -0.0202462 0.00106934 -0.000836204 0.000133145 -0.162706 0.228636 -0.00205178 0.000276728 0.000276664 0.000269605 0.000403459 0.000406908 0.000414524 0.00680301 0.00679156 0.00540063 0.00680301 0.00679156 0.00540063 0.100296 0.0999509 0.0612298
1777369100.373915000 0 1 1 1 1 1 -1.00194 0.00218253 0.0209036 -0.0205343 -0.0191495 -0.00820661 -0.0592417 0.0244856 -0.0146886 0.00103739 0.000343878 0.000415415 -0.183543 0.208364 -0.00102635 0.000251486 0.000251436 0.000245703 0.000386213 0.000389319 0.000397334 0.0063079 0.00629787 0.00501691 0.0063079 0.00629787 0.00501691 0.0461943 0.045884 0.00875069
1777369100.375258000 0 1 1 1 1 1 -1.00202 0.00221561 0.0208838 -0.0205329 -0.0191467 -0.00820553 -0.0594816 0.0247676 -0.0146897 0.00103948 0.000607869 0.000480466 -0.182844 0.208583 -0.000998643 0.000254255 0.000254204 0.000248237 0.00038622 0.000389326 0.00039734 0.00632666 0.00631648 0.0050169 0.00632666 0.00631648 0.0050169 0.0480874 0.0477769 0.0106294
1777369100.376043000 0 1 1 1 1 1 -1.00207 0.00223512 0.0208723 -0.0205321 -0.0191462 -0.00820517 -0.0596251 0.0249313 -0.0146905 0.00103948 0.000607869 0.000480466 -0.182844 0.208583 -0.000998643 0.000255886 0.000255833 0.000249727 0.000386249 0.000389356 0.00039737 0.00633782 0.00632757 0.00501704 0.00633782 0.00632757 0.00501704 0.0535272 0.0532168 0.0160692
1777369100.376814000 0 1 1 1 1 1 -1.00212 0.0022544 0.020861 -0.0205313 -0.0191458 -0.00820482 -0.0597661 0.0250921 -0.0146912 0.00103948 0.000607869 0.000480466 -0.182844 0.208583 -0.000998643 0.000257495 0.000257441 0.000251196 0.000386304 0.00038941 0.000397424 0.00634893 0.0063386 0.00501727 0.00634893 0.0063386 0.00501727 0.0602005 0.05989 0.0227424
1777369100.377836000 0 1 1 1 1 1 -1.00218 0.00228008 0.0208459 -0.0205319 -0.0191438 -0.00820822 -0.0599456 0.0253024 -0.0146974 0.000733624 0.000805637 -2.73523e-05 -0.182042 0.208371 -0.0015398 0.00025964 0.000259585 0.000253153 0.000386271 0.000389378 0.000397391 0.00636328 0.00635283 0.00501712 0.00636328 0.00635283 0.00501712 0.0543395 0.0540289 0.0168764
1777369100.378851000 0 1 1 1 1 1 -1.00224 0.00230585 0.020831 -0.0205312 -0.0191421 -0.00820757 -0.0601277 0.0255079 -0.0147008 0.000744187 0.000945011 7.17569e-05 -0.181656 0.207496 -0.00180159 0.000261785 0.000261729 0.000255106 0.000386218 0.000389325 0.000397339 0.00637753 0.00636698 0.00501692 0.00637753 0.00636698 0.00501692 0.0482175 0.0479068 0.0107631
1777369100.380065000 0 1 1 1 1 1 -1.00231 0.00233698 0.0208131 -0.0205319 -0.0191356 -0.00820726 -0.0603474 0.0257626 -0.0147067 0.000421301 0.00205351 0.00013025 -0.181517 0.207961 -0.00240423 0.00026437 0.000264311 0.000257456 0.000386205 0.000389312 0.000397325 0.00639485 0.00638416 0.00501683 0.00639485 0.00638416 0.00501683 0.0435934 0.0432827 0.0061346
1777369100.380826000 0 1 1 1 1 1 -1.00236 0.00235665 0.020802 -0.0205316 -0.0191341 -0.00820716 -0.0604855 0.0259209 -0.0147085 0.000421301 0.00205351 0.00013025 -0.181517 0.207961 -0.00240423 0.000266 0.000265941 0.000258937 0.000386216 0.000389323 0.000397336 0.00640587 0.0063951 0.00501689 0.00640587 0.0063951 0.00501689 0.0473372 0.0470265 0.0098784
1777369100.384431000 0 1 1 1 1 1 -0.997953 0.00560974 0.0290918 -0.0207048 -0.0176368 -0.00631973 -0.0418683 0.0385776 0.0163241 -4.11563e-05 0.00122604 0.000549652 -0.168429 0.209907 -0.00386591 0.000247157 0.000247107 0.000240972 0.000370923 0.000373784 0.00038213 0.00598645 0.00597669 0.00467076 0.00598645 0.00597669 0.00467076 0.0434893 0.0432008 0.00753336
1777369100.385798000 0 1 1 1 1 1 -0.99801 0.00566268 0.0291141 -0.0207049 -0.0176351 -0.00631898 -0.0420986 0.0388646 0.0163189 -4.11563e-05 0.00122604 0.000549652 -0.168429 0.209907 -0.00386591 0.000249876 0.000249824 0.000243441 0.000370947 0.000373808 0.000382154 0.00600547 0.00599558 0.0046709 0.00600547 0.00599558 0.0046709 0.0494576 0.0491691 0.0135017
1777369100.386841000 0 1 1 1 1 1 -0.998054 0.00570334 0.0291311 -0.020706 -0.0176364 -0.00631746 -0.0422791 0.0390853 0.0163095 -0.000216758 0.000815478 0.000723402 -0.169097 0.210176 -0.00464859 0.000251967 0.000251914 0.000245336 0.000370933 0.000373793 0.000382139 0.00601988 0.00600988 0.00467081 0.00601988 0.00600988 0.00467081 0.0468809 0.0465922 0.0109299
1777369100.387840000 0 1 1 1 1 1 -0.998096 0.00574249 0.0291474 -0.0207069 -0.0176373 -0.00631604 -0.0424517 0.0392966 0.0163009 -0.000355298 0.000485776 0.000861592 -0.169633 0.210369 -0.00524836 0.000253982 0.000253928 0.000247161 0.000370932 0.000373793 0.000382138 0.00603382 0.00602372 0.0046708 0.00603382 0.00602372 0.0046708 0.0464601 0.0461714 0.0105108
1777369100.388848000 0 1 1 1 1 1 -0.998139 0.00578216 0.0291638 -0.020707 -0.017637 -0.00631148 -0.0426252 0.0395076 0.0162973 -0.000363709 0.000490681 0.0015999 -0.16997 0.210295 -0.00497333 0.000256029 0.000255973 0.000249012 0.000370932 0.000373793 0.000382138 0.00604797 0.00603777 0.0046708 0.00604797 0.00603777 0.0046708 0.0464027 0.0461141 0.0104566
1777369100.389981000 0 1 1 1 1 1 -0.998188 0.00582703 0.0291823 -0.0207071 -0.0176361 -0.00630264 -0.042821 0.0397432 0.0162998 -0.000326736 0.000631918 0.00312366 -0.170462 0.209875 -0.00350528 0.000258346 0.000258288 0.000251103 0.000370921 0.000373782 0.000382128 0.00606392 0.00605361 0.00467075 0.00606392 0.00605361 0.00467075 0.0422771 0.0419886 0.00633009
1777369100.394634000 0 1 1 1 1 1 -0.992226 0.00358332 0.0260274 -0.0158544 -0.0160828 -0.00751378 -0.0190585 0.0249253 0.00458182 -0.000965615 -0.000374033 0.00134189 -0.156263 0.161825 -0.00398644 0.000242442 0.000242391 0.000235886 0.000356653 0.000359377 0.000368029 0.0056915 0.00568181 0.00435537 0.0056915 0.00568181 0.00435537 0.0426478 0.0423796 0.00808066
1777369100.395934000 0 1 1 1 1 1 -0.992251 0.00361592 0.0260333 -0.0158568 -0.0160845 -0.00751378 -0.0192636 0.0251358 0.0045723 -0.00110364 -0.00058516 0.000935006 -0.156566 0.161701 -0.00472558 0.000244933 0.00024488 0.000238131 0.000356645 0.00035937 0.000368021 0.0057092 0.00569938 0.00435533 0.0057092 0.00569938 0.00435533 0.0411097 0.0408421 0.00654604
1777369100.396925000 0 1 1 1 1 1 -0.99227 0.00364093 0.0260378 -0.0158585 -0.0160858 -0.00751405 -0.0194199 0.025296 0.00456462 -0.00120236 -0.000737892 0.000635994 -0.156753 0.161633 -0.00525324 0.000246846 0.000246792 0.000239852 0.000356644 0.00035937 0.00036802 0.00572278 0.00571287 0.00435532 0.00572278 0.00571287 0.00435532 0.0406755 0.0404081 0.00611319
