# logged on Tue Apr 28 09:38:20 2026
#
# Rotor commands low-pass filter cut-off frequency
# { fc 0 }
# IMU calibration (0°C average)
# gscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# gbias {
#  0                    0  1                    0  2                    0
# }
# gstddev {
#  0                 0.01  1                 0.01  2                 0.01
# }
# ascale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# abias {
#  0                    0  1                    0  2                    0
# }
# astddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 20  y 20  z 20 }
# afc { x 5  y 5  z 5 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 20 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 thro0 cons0 meas_v1 thro1 cons1 meas_v2 thro2 cons2 meas_v3 thro3 cons3 meas_v4 thro4 cons4 meas_v5 thro5 cons5 meas_v6 thro6 cons6 meas_v7 thro7 cons7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1777369100.330218000  9.98248 0 11.7042  16  nan  -0.000293826 -0.00184487 0.00222265  0.00106526 -0.00213053 0.00319579  -0.00699621 0.00233064 9.80189  0.00479004 0.0167651 9.78365  nan nan nan  nan nan nan  - - - - - - - - 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan nan nan nan nan 0 0 0 0 0 0 0 0
1777369102.767271000  1039.1 0 20.5014  -  nan  -0.0638233 0.0347485 -0.00158881  -0.0751011 0.0447411 -0.000532632  0.0137622 0.0390461 9.94523  -0.0838257 -0.100591 9.68306  - - -  - - -  33.2071 34.1722 56.9062 57.3576 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.768239000  1038.4 0 20.5014  -  nan  -0.0686499 0.0377668 -0.000578993  -0.107059 0.0617853 0.00745685  0.0198356 0.0386592 9.96811  0.213157 0.0263452 10.6962  - - -  - - -  33.2312 34.2041 56.9316 57.378 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.769205000  1038.14 0 20.5014  -  nan  -0.0729377 0.0404481 0.00031809  -0.107059 0.0617853 0.00745685  0.025724 0.0382842 9.99028  0.213157 0.0263452 10.6962  - - -  - - -  33.0478 34.0878 57.065 57.5124 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.770190000  1037.76 0 20.5014  -  nan  -0.0763901 0.0428895 0.000817725  -0.103863 0.062318 0.00479369  0.0235544 0.0469663 9.9826  -0.0455054 0.323328 9.73815  - - -  - - -  33.067 34.1076 57.0981 57.5458 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.771178000  1037.47 0 20.5014  -  nan  -0.0794571 0.0450584 0.00126158  -0.103863 0.062318 0.00479369  0.0214509 0.055384 9.97516  -0.0455054 0.323328 9.73815  - - -  - - -  33.1523 34.283 57.0655 57.5063 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.772995000  1037.47 0 20.5014  -  -  - - -  - - -  - - -  - - -  - - -  - - -  33.1715 34.3029 57.0985 57.5396 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.773172000  1037.47 0 20.5014  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.774234000  1036.94 0 20.5014  -  nan  -0.0830736 0.0468068 0.00100182  -0.111853 0.0607201 -0.00106526  0.0218188 0.0539889 9.97611  0.0335303 0.00958008 10.0064  - - -  - - -  33.1245 34.2528 57.1892 57.6753 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.778047000  1036.94 0 20.5014  -  -  - - -  - - -  - - -  - - -  - - -  - - -  33.1437 34.2726 57.2223 57.7086 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.778382000  1038.86 0 20.5014  -  nan  -0.0889621 0.0500844 0.00100891  -0.135821 0.0761664 0.00106526  0.0264066 0.0622656 9.99286  0.172441 0.325723 10.5261  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.779188000  1038.86 0 20.5014  -  -  - - -  - - -  - - -  - - -  - - -  - - -  33.1571 34.3841 57.2951 57.7291 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.780183000  1033.7 0 20.5014  -  nan  -0.0941932 0.0529961 0.0010152  -0.135821 0.0761664 0.00106526  0.0308547 0.0702903 10.0091  0.172441 0.325723 10.5261  - - -  - - -  33.1789 34.4092 57.3258 57.7583 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.781189000  1033.44 0 20.5014  -  nan  -0.0988404 0.0555827 0.00102079  -0.135821 0.0761664 0.00106526  0.0351673 0.0780705 10.0249  0.172441 0.325723 10.5261  - - -  - - -  33.2011 34.435 57.3561 57.7868 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.782201000  1033.24 0 20.5014  -  nan  -0.102969 0.0578806 0.00102575  -0.135821 0.0761664 0.00106526  0.0393485 0.0856137 10.0401  0.172441 0.325723 10.5261  - - -  - - -  33.2778 34.5573 57.3532 57.7561 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.785309000  1032.47 0 20.6077  -  nan  -0.106577 0.0603976 0.00138693  -0.135289 0.0804275 0.00426106  0.0372017 0.0809634 10.0325  -0.0311353 -0.0670605 9.79084  - - -  - - -  33.2917 34.7077 57.3824 57.717 - - - - 33.4403 19.0616 1.893 34.3572 18.6706 2.519 57.9307 29.521 5.063 57.7901 30.2053 4.426 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.786183000  1033.68 0 20.6077  -  nan  -0.11329 0.0640012 0.00194562  -0.166714 0.092678 0.00639159  0.0424152 0.0836768 10.0503  0.208367 0.170046 10.6171  - - -  - - -  33.3567 34.8101 57.3848 57.6958 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.787182000  1033.03 0 20.6077  -  nan  -0.119076 0.0673809 0.00226357  -0.165116 0.0942759 0.00479369  0.0409044 0.0863805 10.0467  -0.00718506 0.172441 9.92975  - - -  - - -  33.4188 34.9024 57.3878 57.6881 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.788192000  1032.57 0 20.6077  -  nan  -0.124215 0.0703834 0.00254602  -0.165116 0.0942759 0.00479369  0.0394397 0.0890018 10.0431  -0.00718506 0.172441 9.92975  - - -  - - -  33.438 34.9225 57.4208 57.7213 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.789218000  1032.72 0 20.6077  -  nan  -0.127652 0.0725155 0.00232125  -0.154996 0.0894822 0.000532632  0.0369253 0.0827164 10.0331  -0.0431104 -0.117356 9.7142  - - -  - - -  33.5721 35.1689 57.371 57.6263 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.790180000  1032.38 0 20.6077  -  nan  -0.130704 0.0744096 0.00212158  -0.154996 0.0894822 0.000532632  0.0344875 0.0766223 10.0234  -0.0431104 -0.117356 9.7142  - - -  - - -  33.6424 35.283 57.3693 57.605 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.791182000  1032.15 0 20.6077  -  nan  -0.137281 0.0768057 0.00218204  -0.189617 0.0958738 0.00266316  0.0372304 0.079395 10.0321  0.124541 0.167651 10.3106  - - -  - - -  33.7078 35.3729 57.3764 57.5929 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.792189000  1031.93 0 20.6077  -  nan  -0.143124 0.0789344 0.00223575  -0.189617 0.0958738 0.00266316  0.0398898 0.0820832 10.0406  0.124541 0.167651 10.3106  - - -  - - -  33.7688 35.4527 57.3874 57.5862 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.793197000  1031.45 0 20.6077  -  nan  -0.150276 0.0836795 0.00210508  -0.207194 0.12144 0.00106526  0.0434895 0.0897231 10.0569  0.158071 0.332908 10.5764  - - -  - - -  33.8682 35.7393 57.3889 57.4497 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.799646000  1033.51 0 20.6077  -  nan  -0.162275 0.0916398 0.00188588  -0.207194 0.12144 0.00106526  0.0503633 0.104312 10.0881  0.158071 0.332908 10.5764  - - -  - - -  34.0311 36.0311 57.3321 57.3042 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.802104000  1033.51 0 20.6077  -  -  - - -  - - -  - - -  - - -  - - -  - - -  34.0506 36.0518 57.3649 57.3371 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.802180000  1033.51 0 20.6077  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.803843000  1032.24 0 20.6077  -  nan  -0.170679 0.0967504 0.00179427  -0.237554 0.137419 0.00106526  0.056562 0.111712 10.1081  0.253872 0.347278 10.7465  - - -  - - -  34.2252 36.2943 57.3483 57.2671 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.804207000  1028.3 0 20.6077  -  nan  -0.178144 0.10129 0.00171289  -0.237554 0.137419 0.00106526  0.0625718 0.118887 10.1276  0.253872 0.347278 10.7465  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.805194000  1027.38 0 20.6077  -  nan  -0.186144 0.106037 0.00140275  -0.249805 0.143811 -0.00106526  0.060666 0.117017 10.1251  0 0.0574805 10.0447  - - -  - - -  34.4007 36.5468 57.3402 57.2049 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.807051000  1027.38 0 20.6077  -  -  - - -  - - -  - - -  - - -  - - -  - - -  34.4203 36.5677 57.373 57.2375 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369102.809981000  1025.92 0 20.6077  -  nan  -0.192181 0.109897 0.00184076  -0.240217 0.140615 0.00532632  0.0569214 0.109513 10.1113  -0.0622705 -0.129331 9.67348  - - -  - - -  34.6445 36.8865 57.3708 57.1584 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.810341000  1035.58 0 20.6077  -  nan  -0.197543 0.113326 0.00222987  -0.240217 0.140615 0.00532632  0.053291 0.102239 10.098  -0.0622705 -0.129331 9.67348  - - -  - - -  34.6642 36.9075 57.4036 57.191 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.811358000  1035.7 0 20.6077  -  nan  -0.202307 0.116373 0.00257554  -0.240217 0.140615 0.00532632  0.0497711 0.0951851 10.085  -0.0622705 -0.129331 9.67348  - - -  - - -  34.8395 37.1842 57.3323 57.0691 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.812721000  1034.13 0 20.6077  -  nan  -0.206539 0.119079 0.00288263  -0.240217 0.140615 0.00532632  0.0463584 0.0883466 10.0725  -0.0622705 -0.129331 9.67348  - - -  - - -  34.8593 37.2054 57.365 57.1016 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.813224000  1034.07 0 20.6077  -  nan  -0.21012 0.12077 0.00309597  -0.238619 0.134223 0.00479369  0.0443628 0.0835401 10.0644  -0.0191602 -0.0694556 9.8076  - - -  - - -  34.9863 37.4558 57.3248 56.982 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.815052000  1034.26 0 20.6077  -  nan  -0.213302 0.122272 0.00328549  -0.238619 0.134223 0.00479369  0.0424279 0.07888 10.0566  -0.0191602 -0.0694556 9.8076  - - -  - - -  35.0442 37.5527 57.3312 56.9682 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.815335000  1032.99 0 20.6077  -  nan  -0.216128 0.123606 0.00345386  -0.238619 0.134223 0.00479369  0.040552 0.0743618 10.049  -0.0191602 -0.0694556 9.8076  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.816208000  1034.46 0 20.6077  -  nan  -0.218639 0.124791 0.00360343  -0.238619 0.134223 0.00479369  0.0387332 0.0699813 10.0417  -0.0191602 -0.0694556 9.8076  - - -  - - -  35.1349 37.7002 57.3617 56.9682 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.817399000  1034.46 0 20.6077  -  -  - - -  - - -  - - -  - - -  - - -  - - -  35.1548 37.7216 57.3943 57.0005 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.818272000  1031.04 0 20.6077  -  nan  -0.222375 0.126839 0.00284352  -0.234358 0.134756 -0.00426106  0.0312479 0.0555616 10.0168  -0.150886 -0.268242 9.45075  - - -  - - -  35.1748 37.743 57.4269 57.0329 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.819215000  1031.04 0 20.6077  -  -  - - -  - - -  - - -  - - -  - - -  - - -  35.2943 37.9289 57.4069 56.9528 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.820402000  1032.51 0 20.6077  -  nan  -0.223713 0.127723 0.0020504  -0.234358 0.134756 -0.00426106  0.0257003 0.0456988 9.99952  -0.150886 -0.268242 9.45075  - - -  - - -  35.3143 37.9504 57.4394 56.9851 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.821587000  1029.94 0 20.6077  -  nan  -0.227874 0.129935 0.00170258  -0.26099 0.147539 -0.00106526  0.0298781 0.0531338 10.0184  0.162861 0.289797 10.6195  - - -  - - -  35.3918 38.0322 57.4541 56.9656 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.822349000  1033.8 0 20.6077  -  nan  -0.231571 0.1319 0.00139359  -0.26099 0.147539 -0.00106526  0.0339286 0.0603424 10.0367  0.162861 0.289797 10.6195  - - -  - - -  35.4119 38.0538 57.4867 56.9979 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.823380000  1033.48 0 20.6077  -  nan  -0.234855 0.133646 0.0011191  -0.26099 0.147539 -0.00106526  0.0378558 0.0673314 10.0545  0.162861 0.289797 10.6195  - - -  - - -  35.4439 38.0945 57.5129 57.0177 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.824295000  1032.63 0 20.6077  -  nan  -0.237773 0.135197 0.000875246  -0.26099 0.147539 -0.00106526  0.0416634 0.0741075 10.0717  0.162861 0.289797 10.6195  - - -  - - -  35.555 38.1959 57.4883 56.9684 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.826184000  1032.44 0 20.6077  -  nan  -0.242667 0.137799 0.000466171  -0.26099 0.147539 -0.00106526  0.0489341 0.0870468 10.1045  0.162861 0.289797 10.6195  - - -  - - -  35.6579 38.3449 57.4768 56.9056 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369102.827213000  1032.13 0 20.6077  -  nan  -0.24394 0.138173 0.000592511  -0.254066 0.141148 0.0015979  0.0427018 0.077757 10.0886  -0.155676 -0.217947 9.58008  - - -  - - -  35.7529 38.4716 57.5126 56.906 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.828208000  1031.73 0 20.6077  -  nan  -0.24507 0.138505 0.000704748  -0.254066 0.141148 0.0015979  0.0366594 0.0687501 10.0731  -0.155676 -0.217947 9.58008  - - -  - - -  35.7826 38.5091 57.5393 56.927 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.829999000  1030.75 0 20.6077  -  nan  -0.247264 0.140048 0.00032877  -0.264718 0.152333 -0.00266316  0.0373666 0.0693552 10.0781  0.0598755 0.0886157 10.2387  - - -  - - -  35.8027 38.5309 57.5718 56.9591 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.830179000  1030.67 0 20.6077  -  nan  -0.249212 0.14142 -5.23451e-06  -0.264718 0.152333 -0.00266316  0.0380522 0.0699418 10.083  0.0598755 0.0886157 10.2387  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.832840000  1025.47 0 20.6077  -  nan  -0.252481 0.14372 -0.000565547  -0.264718 0.152333 -0.00266316  0.0393614 0.0710621 10.0924  0.0598755 0.0886157 10.2387  - - -  - - -  35.8778 38.6426 57.6148 56.976 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.833178000  1034.99 0 20.7032  -  nan  -0.252479 0.143493 -0.00032403  -0.252468 0.14168 0.0015979  0.0325453 0.0578092 10.0693  -0.184417 -0.364043 9.33579  - - -  - - -  - - - - - - - - 35.9118 15.9335 1.154 38.7777 25.7087 5.346 58.072 30.7918 3.264 57.2344 31.1828 3.714 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.835459000  1043.08 0 20.7032  -  nan  -0.252478 0.14329 -0.000109476  -0.252468 0.14168 0.0015979  0.0259369 0.04496 10.047  -0.184417 -0.364043 9.33579  - - -  - - -  36.0518 38.7731 57.6207 56.9835 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369102.836182000  1037.94 0 20.7032  -  nan  -0.253845 0.143289 0.000259509  -0.264718 0.143278 0.00319579  0.0252927 0.0428611 10.049  0.00479004 -0.0239502 10.1142  - - -  - - -  36.0923 38.8167 57.6855 57.0476 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.837308000  1037.74 0 20.7032  -  nan  -0.255058 0.143288 0.000587302  -0.264718 0.143278 0.00319579  0.0246682 0.0408261 10.051  0.00479004 -0.0239502 10.1142  - - -  - - -  36.1126 38.8385 57.7179 57.0797 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.838178000  1037.22 0 20.7032  -  nan  -0.256137 0.143287 0.000878501  -0.264718 0.143278 0.00319579  0.0240628 0.038853 10.0529  0.00479004 -0.0239502 10.1142  - - -  - - -  36.233 39.0374 57.692 56.9933 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.839180000  1036.77 0 20.7032  -  nan  -0.257095 0.143286 0.00113719  -0.264718 0.143278 0.00319579  0.0234757 0.0369401 10.0548  0.00479004 -0.0239502 10.1142  - - -  - - -  36.2605 39.0986 57.7159 57.0033 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.840189000  1036.52 0 20.7032  -  nan  -0.257946 0.143285 0.001367  -0.264718 0.143278 0.00319579  0.0229066 0.0350855 10.0566  0.00479004 -0.0239502 10.1142  - - -  - - -  36.2885 39.1591 57.7396 57.0134 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.841191000  1036.1 0 20.7032  -  nan  -0.258702 0.143284 0.00157116  -0.264718 0.143278 0.00319579  0.0223548 0.0332873 10.0584  0.00479004 -0.0239502 10.1142  - - -  - - -  36.3155 39.2365 57.7607 57.0148 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.842197000  1035.87 0 20.7032  -  nan  -0.25759 0.143997 0.000979541  -0.248739 0.14967 -0.00372843  0.0175157 0.0283341 10.0457  -0.136516 -0.129331 9.64235  - - -  - - -  36.3457 39.2747 57.7875 57.0355 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.844691000  1035.87 0 20.7032  -  -  - - -  - - -  - - -  - - -  - - -  - - -  36.2877 39.4413 57.8868 56.9885 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.845206000  1036.29 0 20.7032  -  nan  -0.256602 0.14463 0.000453967  -0.248739 0.14967 -0.00372843  0.0128241 0.0235318 10.0334  -0.136516 -0.129331 9.64235  - - -  - - -  36.3453 39.4855 57.904 56.9988 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.846203000  1033.07 0 20.7032  -  nan  -0.258221 0.146144 -0.000250778  -0.27111 0.158192 -0.00585895  0.010172 0.0255142 10.0426  -0.0742456 0.0886157 10.3345  - - -  - - -  36.3761 39.5249 57.9305 57.0187 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.847195000  1033.07 0 20.7032  -  -  - - -  - - -  - - -  - - -  - - -  - - -  36.426 39.5474 57.9538 57.0433 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.848188000  1033.07 0 20.7032  -  -  - - -  - - -  - - -  - - -  - - -  - - -  36.4949 39.6003 57.9692 57.0413 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.849774000  1032.43 0 20.7032  -  nan  -0.261163 0.147786 0.000138938  -0.272175 0.153931 0.0015979  0.0160273 0.0238399 10.0338  0.107776 -0.00239502 9.89622  - - -  - - -  36.5262 39.6401 57.9955 57.0609 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.850187000  1033.3 0 20.7032  -  nan  -0.259895 0.146866 4.5063e-06  -0.249805 0.13955 -0.00106526  0.00627448 0.00808605 10.0042  -0.304167 -0.493374 9.06275  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.851201000  1033.07 0 20.7032  -  nan  -0.257341 0.145336 0.000182385  -0.237021 0.133158 0.0015979  -0.000263283 -0.00193554 9.98779  -0.208367 -0.320933 9.46512  - - -  - - -  36.6113 39.7636 58.0306 57.0748 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.852184000  1032.63 0 20.7032  -  nan  -0.255073 0.143976 0.000340406  -0.237021 0.133158 0.0015979  -0.00660191 -0.0116519 9.97187  -0.208367 -0.320933 9.46512  - - -  - - -  36.6385 39.7973 58.0633 57.1005 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.853187000  1032.4 0 20.7032  -  nan  -0.256031 0.145326 6.45624e-05  -0.263653 0.156061 -0.00213053  -0.00195087 -0.00436673 9.99167  0.146096 0.227527 10.6219  - - -  - - -  36.708 39.8908 58.0726 57.0933 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.856989000  1032.4 0 20.7032  -  -  - - -  - - -  - - -  - - -  - - -  - - -  36.7285 39.913 58.1049 57.1251 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369102.858547000  1027.03 0 20.7032  -  nan  -0.266429 0.150722 -0.00065109  -0.299339 0.162453 -0.0015979  0.0168596 0.0273628 10.0757  0.172441 0.306563 10.7991  - - -  - - -  36.7694 39.9575 58.1696 57.1887 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.860683000  1033.53 0 20.7032  -  nan  -0.270103 0.152032 -0.000756787  -0.299339 0.162453 -0.0015979  0.0215984 0.035867 10.0977  0.172441 0.306563 10.7991  - - -  - - -  36.9683 40.2387 58.105 57.0229 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.861197000  1033.2 0 20.7032  -  nan  -0.273366 0.153195 -0.000850685  -0.299339 0.162453 -0.0015979  0.026193 0.0441121 10.1191  0.172441 0.306563 10.7991  - - -  - - -  36.9999 40.2792 58.1307 57.0414 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.862191000  1033.03 0 20.7032  -  nan  -0.276266 0.154229 -0.0009341  -0.299339 0.162453 -0.0015979  0.0306475 0.0521061 10.1398  0.172441 0.306563 10.7991  - - -  - - -  37.0205 40.3015 58.163 57.0731 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.863243000  1039 0 20.7032  -  nan  -0.280744 0.156514 -0.0007109  -0.316384 0.174703 0.00106526  0.0289846 0.0540206 10.1447  -0.0239502 0.114961 10.301  - - -  - - -  37.0735 40.3935 58.1752 57.0519 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.864202000  1039 0 20.7032  -  -  - - -  - - -  - - -  - - -  - - -  - - -  37.1936 40.521 58.1512 57.0093 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.865203000  1034.17 0 20.7032  -  nan  -0.282701 0.158545 -0.000690999  -0.298274 0.174703 -0.000532632  0.0235059 0.0407032 10.1224  -0.150886 -0.383203 9.41243  - - -  - - -  37.2251 40.562 58.1764 57.0267 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369102.869195000  1030.92 0 20.7032  -  nan  -0.28444 0.160349 -0.00067332  -0.298274 0.174703 -0.000532632  0.0181941 0.0277914 10.1007  -0.150886 -0.383203 9.41243  - - -  - - -  37.2842 40.6599 58.1811 57.0049 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369102.872836000  1030.14 0 20.7032  -  nan  -0.281227 0.158681 -6.30091e-05  -0.255663 0.145409 0.00479369  0.0109285 0.0133762 10.075  -0.220342 -0.445474 9.25675  - - -  - - -  37.4636 40.8963 58.1575 56.9291 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369102.876976000  1032.91 0 20.7032  -  nan  -0.268667 0.152681 -0.00032573  -0.242348 0.13955 0  -0.0031931 -0.00763353 10.0417  -0.0958008 -0.102986 9.90101  - - -  - - -  37.5928 40.9434 58.1561 56.9928 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
